,UFID,BLD_NM,DONG_NM,GRND_FLR,UGRND_FLR,PNU,ARCHAREA,TOTALAREA,PLATAREA,HEIGHT,STRCT_CD,USABILITY,BC_RAT,VL_RAT,BLDRGST_PK,USEAPR_DAY,REGIST_DAY,GB_CD,VIOL_BD_YN,GEOIDN,BLDG_PNU,BLDG_PNU_Y,BLD_UNLICE,BD_MGT_SN,SGG_OID,COL_ADM_SE,geometry
10,1982202767884446883400000000,,,2,1,1168010100106260010,76.4,219.15,0.0,0.0,21,01000,0.0,0.0,10442,19821206,20200425,0,0,B00100000000SPKKZ,,,,1168010100106260010022545,541,11680,"POLYGON ((202774.2599999998 444688.8430000003, 202768.7439999999 444680.6559999995, 202760.5089999996 444685.7489999998, 202768.2910000002 444696.5, 202773.4479999999 444693.0309999995, 202771.7599999998 444690.4680000003, 202774.2599999998 444688.8430000003))"
11,1991203029864443721400000000,,,2,2,1168010100106440010,99.12,403.79,202.8,7.9,21,04000,48.88,91.83,19328,19910902,20170205,0,0,B00100000000SLYPF,,,,1168010100106440010023406,387,11680,"POLYGON ((203037.9129999997 444371.8359999992, 203035.8969999999 444365.9930000007, 203025.1310000001 444370.0240000002, 203022.0060000001 444371.1799999997, 203024.3200000003 444378.6170000006, 203025.1160000004 444378.2740000002, 203036.5379999997 444373.2740000002, 203036.2259999998 444372.2740000002, 203037.9129999997 444371.8359999992))"
12,1980202802194446616300000000,,,2,1,1168010100106260015,87.87,259.37,222.6,0.0,11,01000,39.47,77.04,17262,19800810,20200425,0,0,B00100000000SMINX,,,,1168010100106260015022626,503,11680,"POLYGON ((202809.79 444664.2489999998, 202803.04 444653.4049999993, 202794.415 444659.2170000002, 202801.6809999999 444669.8420000002, 202809.79 444664.2489999998))"
13,1991202865984444027500000000,,,5,1,1168010100106380019,145.85,851.65,292.5,0.0,21,03000,49.86,217.68,12917,19910311,20200915,0,0,B00100000000SR0C9,,,,1168010100106380019023353,539,11680,"POLYGON ((202875.0219999999 444401.0580000002, 202861.2089999998 444395.8080000002, 202860.2869999995 444398.3389999997, 202859.1780000003 444397.8709999993, 202856.6469999999 444404.0580000002, 202871.5219999999 444409.9330000002, 202875.0219999999 444401.0580000002))"
14,1990202250054446209600000000,,,4,1,1168010100108100017,87.76,473.11,176.0,13.2,21,01000,49.86,196.7,16638,19900917,20200425,0,0,B00100000000SNTZM,,,,1168010100108100017022760,609,11680,"POLYGON ((202254.2850000001 444626.6940000001, 202257.3320000004 444618.7249999996, 202246.4100000001 444614.6319999993, 202242.8169999998 444623.9450000003, 202246.3480000002 444625.2259999998, 202246.676 444624.4759999998, 202253.8480000002 444626.8190000001, 202254.2850000001 444626.6940000001))"
15,1991202647724445049800000000,,,3,1,1168010100106330002,91.18,329.2,232.8,10.9,21,02000,39.17,106.06,12190,19910905,20200425,0,0,B00100000000SRL1J,,,,1168010100106330002023109,627,11680,"POLYGON ((202651.7869999995 444511.0930000003, 202653.0369999995 444507.8120000008, 202653.8969999999 444508.0620000008, 202655.8969999999 444502.7809999995, 202643.7079999996 444498.25, 202639.9440000001 444507.9059999995, 202646.0690000001 444510.3120000008, 202646.5999999996 444509.5620000008, 202651.7869999995 444511.0930000003))"
16,1992202769814444165900000000,,,2,1,1168010100106320016,170.25,329.08,536.8,0.0,11,01000,31.72,54.26,6747,19920108,20170222,0,0,B00100000000SPIMZ,,,,1168010100106320016023322,564,11680,"POLYGON ((202774.4110000003 444411.4030000009, 202767.2549999999 444408.5590000004, 202766.7709999997 444409.8399999999, 202762.2860000003 444408.1850000005, 202758.8959999997 444416.9039999992, 202765.2240000004 444419.591, 202764.943 444420.5600000005, 202778.4890000001 444425.4340000004, 202781.2400000002 444418.8719999995, 202775.6299999999 444416.6219999995, 202776.2860000003 444414.7469999995, 202773.7860000003 444413.6530000009, 202774.4110000003 444411.4030000009))"
17,2003202788904449059400000000,역삼동 근린생활시설,,3,1,1168010100106050026,87.81,322.47,293.1,9.05,21,03000,29.96,39.15,18684,20030605,20201106,0,0,B00100000000SN0MF,,,,1168010100106050026028054,566,11680,"POLYGON ((202794.8569999998 444902.0010000002, 202787.1069999998 444899.0940000005, 202783.1069999998 444910.0629999992, 202790.4970000004 444912.8129999992, 202794.8569999998 444902.0010000002))"
18,1982202911194446969300000000,,,2,1,1168010100106080007,146.61,307.31,0.0,0.0,11,01000,0.0,0.0,17196,19820127,20200425,0,0,B00100000000SPRNA,,,,1168010100106080007022495,602,11680,"POLYGON ((202920.9800000004 444702.2149999999, 202910.4639999997 444685.6840000004, 202901.3700000001 444691.4039999992, 202912.0109999999 444708.341, 202920.9800000004 444702.2149999999))"
19,2002202506554442724500000000,태리빌딩,,7,3,1168010100106350006,343.88,2652.05,574.9,24.02,21,04000,59.82,298.98,7683,20020716,20201014,0,0,B00100000000SM70Y,,,,1168010100106350006023587,759,11680,"POLYGON ((202513.8449999997 444283.125, 202519.6730000004 444269.3120000008, 202499.5939999996 444261.0629999992, 202493.767 444276.2190000005, 202509.142 444282.1569999997, 202509.392 444281.4690000005, 202513.8449999997 444283.125))"
20,2000202373814442140900000000,,,5,1,1168010100108170009,132.09,736.92,232.8,17.1,21,03000,56.74,250.15,10897,20001116,20210323,0,0,B00100000000RF4F3,,,,1168010100108170009023694,861,11680,"POLYGON ((202381.3430000003 444210.3450000007, 202370.5609999998 444206.2829999998, 202366.2960000001 444217.9700000007, 202377.108 444221.8139999993, 202381.3430000003 444210.3450000007))"
21,1986202950024448008300000000,,,2,1,1168010100106070024,82.92,248.76,0.0,0.0,11,02000,0.0,0.0,10721,19861213,20200425,0,0,B00100000000SR4XY,,,,1168010100106070024022161,720,11680,"POLYGON ((202957.7630000003 444798.6219999995, 202945.5439999998 444794.0600000005, 202942.2939999998 444802.9039999992, 202954.3569999998 444807.716, 202957.7630000003 444798.6219999995))"
22,2002202862334447343300000000,,,2,1,1168010100106080003,202.65,625.38,407.0,9.85,21,01000,49.79,99.58,8617,20020208,20170502,0,0,B00100000000SR3DD,,,,1168010100106080003000001,901,11680,"POLYGON ((202873.2139999997 444739.9979999997, 202861.1210000003 444722.3100000005, 202851.0109999999 444729.2170000002, 202852.7920000004 444731.9049999993, 202853.5109999999 444731.4989999998, 202863.7920000004 444746.4360000007, 202873.2139999997 444739.9979999997))"
23,1987202898644443863900000000,,,2,1,1168010100106450002,109.74,329.22,0.0,0.0,11,02000,0.0,0.0,5789,19871026,20171104,0,0,B00100000000SR3GG,,,,1168010100106450002023378,934,11680,"POLYGON ((202895.4749999996 444393.5260000005, 202907.5690000001 444386.432, 202903.6469999999 444378.2760000005, 202889.2400000002 444387.1510000005, 202892.4910000004 444392.9629999995, 202894.6469999999 444392.182, 202895.4749999996 444393.5260000005))"
24,1992202558254448048900000000,,,7,2,1168010100106030004,203.07,1628.35,411.9,0.0,21,04000,49.3,243.39,14564,19920709,20200108,0,0,B00100000000SMUXK,,,,1168010100106030004022128,844,11680,"POLYGON ((202568.6509999996 444805.0969999991, 202556.8219999997 444795.4719999991, 202552.3689999999 444798.7540000007, 202550.9939999999 444800.5969999991, 202554.557 444815.6280000005, 202568.6509999996 444805.0969999991))"
25,1991202868374443152700000000,,,5,1,1168010100106370032,89.67,484.75,181.1,14.85,21,04000,49.51,195.6,5937,19910611,20180425,0,0,B00100000000SN31W,,,,1168010100106370032023527,1101,11680,"POLYGON ((202872.1600000001 444320.4629999995, 202873.2699999996 444317.7760000005, 202876.8169999998 444318.807, 202878.176 444315.7440000009, 202862.3629999999 444309.557, 202860.0350000001 444315.9629999995, 202872.1600000001 444320.4629999995))"
26,1991202671494444627800000000,,,3,1,1168010100106330024,165.54,627.92,375.4,10.51,21,02000,44.1,126.35,11784,19911220,20200425,0,0,B00100000000SPEDM,,,,1168010100106330024023218,1106,11680,"POLYGON ((202678.2079999996 444470.5299999993, 202681.8329999996 444460.9670000002, 202665.318 444454.4989999998, 202663.0360000003 444461.1559999995, 202662.4110000003 444460.75, 202660.818 444464.5, 202660.9110000003 444464.5309999995, 202675.2390000001 444470.1239999998, 202675.443 444469.5610000007, 202678.2079999996 444470.5299999993))"
27,2003203048574445044800000000,,,6,3,1168010100106410018,232.32,2040.62,409.2,19.3,21,04000,56.77,298.26,21997,20030318,20170125,0,0,B00100000000SM2OI,,,,1168010100106410018026811,1113,11680,"POLYGON ((203054.0719999997 444513.2440000009, 203056.2589999996 444507.8369999994, 203057.3219999997 444508.1809999999, 203059.7280000001 444501.9609999992, 203042.8839999996 444495.9309999999, 203042.1179999998 444497.9940000009, 203041.2750000004 444497.5869999994, 203038.415 444504.8059999999, 203038.5089999996 444506.0559999999, 203038.9929999998 444507.0869999994, 203039.8370000003 444508.0559999999, 203054.0719999997 444513.2440000009))"
28,1990202429704441497000000000,제이빌딩,,5,1,1168010100108180013,194.79,1178.36,390.4,17.2,21,04000,49.89,237.05,3344,19900116,20191008,0,0,B001000000012UDCZ,,,,1168010100108180013023806,1119,11680,"POLYGON ((202437.9670000002 444144.6879999992, 202426.8890000004 444140.4379999992, 202421.4979999997 444155.0010000002, 202432.5140000004 444158.8129999992, 202437.9670000002 444144.6879999992))"
29,1992202837244443773400000000,,다가구주택(7가구),3,1,1168010100106370027,94.0,368.0,182.4,10.9,11,01000,51.54,151.32,23174,19921223,20170303,0,0,B00100000000SPPM7,,,,1168010100106370027023395,1029,11680,"POLYGON ((202840.6140000001 444373.0270000007, 202834.5049999999 444370.7139999997, 202830.7549999999 444380.4959999993, 202840.068 444383.9639999997, 202840.6140000001 444382.4639999997, 202843.7079999996 444374.1520000007, 202840.6140000001 444373.0270000007))"
30,1995202892184443320400000000,,,6,1,1168010100106450012,238.61,1214.11,399.6,16.9,21,03000,59.71,260.11,21483,19951027,20191025,0,0,B00100000000SMI3D,,,,1168010100106450012023481,991,11680,"POLYGON ((202901.5829999996 444327.9949999992, 202887.7549999999 444322.9629999995, 202882.5990000004 444335.9629999995, 202896.8490000004 444341.1199999992, 202901.5829999996 444327.9949999992))"
31,2004202305674444746000000000,운현빌딩,,5,1,1168010100108130010,181.68,1126.98,324.1,14.68,21,03000,56.06,272.29,11792,20041022,20210310,0,0,B00100000000SNY6X,,,,1168010100108130010023173,1028,11680,"POLYGON ((202313.9079999998 444469.7550000008, 202305.7520000003 444466.5360000003, 202299.3300000001 444472.0050000008, 202296.7520000003 444478.443, 202309.0650000004 444482.8800000008, 202313.9079999998 444469.7550000008))"
32,1978202497234445191400000000,,,2,1,1168010100106220013,83.84,148.9,0.0,0.0,11,01000,0.0,0.0,15395,19780930,20200425,0,0,B00100000000SOZLF,,,,1168010100106220013023065,1185,11680,"POLYGON ((202504.7390000001 444520.0960000008, 202499.5199999996 444512.4710000008, 202494.9570000004 444515.5960000008, 202494.0820000004 444514.3460000008, 202489.6449999996 444517.284, 202495.7860000003 444526.284, 202504.7390000001 444520.0960000008))"
33,2004202566024445800100000000,프릿지아,,2,2,1168010100106230015,149.19,763.27,298.7,8.7,21,01000,49.95,99.33,17833,20040924,20170307,0,1,B00100000000SMVCZ,,,,1168010100106230015028052,1280,11680,"POLYGON ((202577.6469999999 444579.9700000007, 202570.4440000001 444569.4700000007, 202554.3660000004 444579.8139999993, 202561.8190000001 444590.6889999993, 202577.6469999999 444579.9700000007))"
34,1994202381664443640800000000,,,2,1,1168010100106210015,141.65,328.26,288.8,7.85,21,03000,49.05,89.25,11660,19940819,20171024,0,0,B00100000000SQ1YV,,,,1168010100106210015023415,1288,11680,"POLYGON ((202386.7039999999 444371.8460000008, 202391.2039999999 444360.6280000005, 202385.0480000004 444358.2530000005, 202384.017 444360.659, 202375.0640000002 444357.2210000008, 202371.7510000002 444365.7520000003, 202386.7039999999 444371.8460000008))"
35,1996203010444444352300000000,성민,,4,1,1168010100106430004,141.12,645.48,300.28,12.4,21,02000,47.0,172.16,5249,19960619,20170204,0,0,B00100000000SRG6J,,,,1168010100106430004023282,1321,11680,"POLYGON ((203017.6320000002 444427.3690000009, 203010.3509999998 444425.2440000009, 203002.8820000002 444442.7750000004, 203011.2580000004 444444.8369999994, 203017.6320000002 444427.3690000009))"
36,1984202495474440694000000000,강남제일빌딩,,10,2,1168010100108220004,528.56,7186.59,1000.2,40.2,21,03000,52.85,496.81,11090,19840125,20210122,0,0,B001000000012VKPL,,,,1168010100108220004023978,1301,11680,"POLYGON ((202509.1059999997 444060.8110000007, 202491.0599999996 444053.7489999998, 202481.8559999997 444077.9989999998, 202499.8569999998 444085.0610000007, 202509.1059999997 444060.8110000007))"
37,1991202967934448015300000000,,,6,3,1168010100106070013,376.95,3701.43,769.9,25.2,21,14000,48.96,288.24,17199,19910611,20200117,0,0,B00100000000SMO5L,,,,1168010100106070013022131,1317,11680,"POLYGON ((202979.6849999996 444793.6840000004, 202964.0130000003 444787.7469999995, 202955.8880000003 444809.3100000005, 202972.3260000004 444815.1530000009, 202979.6849999996 444793.6840000004))"
38,1987202203264446682800000000,,,4,1,1168010100106010007,214.9,971.46,0.0,0.0,21,04000,0.0,0.0,5687,19870901,20210114,0,0,B00100000000SNLFT,,,,1168010100106010007022605,1381,11680,"POLYGON ((202213.5360000003 444665.2890000008, 202197.4570000004 444659.3210000005, 202192.8490000004 444671.2589999996, 202209.318 444677.1960000005, 202213.5360000003 444665.2890000008))"
39,1973202374914446791100000000,,,1,0,1168010100106150006,79.64,79.64,0.0,0.0,11,03000,0.0,0.0,22279,19730719,20170125,0,0,B00100000000SQ3ON,,,,1168010100106150006022581,1544,11680,"POLYGON ((202381.9589999998 444677.068, 202370.5999999996 444672.943, 202368.3499999996 444678.818, 202369.5369999995 444679.3489999995, 202368.6619999995 444681.6300000008, 202378.8650000002 444685.3809999991, 202381.9589999998 444677.068))"
