,UFID,BLD_NM,DONG_NM,GRND_FLR,UGRND_FLR,PNU,ARCHAREA,TOTALAREA,PLATAREA,HEIGHT,STRCT_CD,USABILITY,BC_RAT,VL_RAT,BLDRGST_PK,USEAPR_DAY,REGIST_DAY,GB_CD,VIOL_BD_YN,GEOIDN,BLDG_PNU,BLDG_PNU_Y,BLD_UNLICE,BD_MGT_SN,SGG_OID,COL_ADM_SE,geometry
10,1980202226224440925800000000,,,3,1,1165010800113170003,220.46,969.3,0.0,0.0,11,04000,0.0,0.0,14263,19800920,20170129,0,0,B001000000012U48M,,,,1165010800113170003019866,22351,11650,"POLYGON ((202238.4800000004 444091.6899999995, 202218.0580000002 444084.0040000007, 202214.4170000004 444093.9100000001, 202231.1679999996 444100.3159999996, 202236.7620000001 444097.3780000005, 202238.4800000004 444091.6899999995))"
11,0000201920664437606000000000,,,0,0,1165010800113230000,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110209,,,B001000000012ZK44,,,,1165010800113230000022471,2929,11650,"POLYGON ((201936.4730000002 443753.5669999998, 201913.5959999999 443744.7239999995, 201904.8320000004 443767.693, 201921.5820000004 443773.9739999995, 201921.5350000001 443774.2559999991, 201927.6440000003 443776.5989999995, 201936.4730000002 443753.5669999998))"
12,1993202154454437092700000000,,,3,1,1165010800113210007,372.05,1640.74,978.1,12.45,21,04000,38.04,105.4,14279,19930628,20170510,0,0,B0010000000129EAD,,,,1165010800113210007022476,17439,11650,"POLYGON ((202155.7230000002 443728.9700000007, 202163.5199999996 443707.4069999997, 202167.3949999996 443708.6879999992, 202171.3020000001 443698.1879999992, 202151.3320000004 443690.5010000002, 202141.0520000001 443718.3139999993, 202139.3799999999 443722.8450000007, 202141.0520000001 443723.4700000007, 202155.7230000002 443728.9700000007))"
13,0000201895464437535000000000,,,0,0,1165010800113230007,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110209,,,B001000000012ZK33,,,,1165010800113230000022471,2421,11650,"POLYGON ((201904.1909999996 443760.6620000005, 201912.909 443741.7870000005, 201891.4869999997 443732.943, 201883.8470000001 443752.0989999995, 201882.2680000002 443751.6620000005, 201877.4400000004 443764.0069999993, 201901.3789999997 443773.693, 201906.2379999999 443761.4120000005, 201904.1909999996 443760.6620000005))"
14,0000202088584439454900000000,,,0,0,1165010800113160005,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110209,,,,,,,,2786,11650,"POLYGON ((202090.0880000005 443944.4030000009, 202088.2130000005 443943.6769999992, 202087.0880000005 443946.5789999999, 202088.9630000005 443947.3059999999, 202090.0880000005 443944.4030000009))"
15,0000201897134436717300000000,,,0,0,1165010800113230009,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110209,,,B001000000012YJGE,,,,,2806,11650,"POLYGON ((201904.2359999996 443666.0050000008, 201894.8300000001 443662.4419999998, 201890.4079999998 443678.0059999991, 201898.9390000002 443681.0370000005, 201904.2359999996 443666.0050000008))"
16,0000201922244436265300000000,,,0,0,1165010800113230009,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110209,,,B001000000012ZCOG,,,,,6091,11650,"POLYGON ((201926.4850000003 443621.1610000003, 201922.7189999996 443619.5979999993, 201917.9550000001 443631.8800000008, 201921.8609999996 443633.3800000008, 201926.4850000003 443621.1610000003))"
17,0000202111664436831900000000,,,0,0,1165010800113220012,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110209,,,B001000000012ZLZ1,,,,1165010800113220012000001,6381,11650,"POLYGON ((202110.4730000002 443696.9079999998, 202112.676 443690.7200000007, 202123.426 443694.7200000007, 202127.9409999996 443683.4079999998, 202122.1289999997 443678.5639999993, 202124.2379999999 443676.1889999993, 202119.7070000004 443672.3760000002, 202117.5980000002 443674.9700000007, 202112.4879999999 443670.1270000003, 202105.2379999999 443667.0950000007, 202096.0350000001 443691.6579999998, 202110.4730000002 443696.9079999998))"
18,1994202191654440767100000000,,,3,1,1165010800113170000,773.12,3287.06,1709.4,13.7,21,04000,45.23,126.36,14262,19940430,20171220,0,0,B001000000012U4XC,,,,1165010800113170001019868,17837,11650,"POLYGON ((202213.0259999996 444078.9719999991, 202214.3550000004 444075.0659999996, 202174.8389999997 444059.7850000001, 202168.0580000002 444076.3159999996, 202168.4639999997 444077.3790000007, 202170.7920000004 444078.2540000007, 202171.8540000003 444077.6290000007, 202174.2759999996 444078.8159999996, 202173.8859999999 444080.3469999991, 202208.5889999997 444093.7540000007, 202214.0109999999 444079.3790000007, 202213.0259999996 444078.9719999991))"
19,2007202245224437480800000000,The Asset,,32,7,1165010800113210020,1849.96,81117.28,5348.1,150.0,42,14000,34.59,940.38,14282,20071224,20210210,0,0,B001000000012U6O5,,,,1165010800113210020000001,17222,11650,"POLYGON ((202273.8679999998 443741.1539999992, 202226.3310000002 443723.0449999999, 202219.9939999999 443739.6789999995, 202221.5199999996 443740.1649999991, 202215.9749999996 443754.273, 202266.5470000003 443773.5519999992, 202270.7410000004 443762.3159999996, 202265.7359999996 443760.4489999991, 202273.8679999998 443741.1539999992))"
